country,sampling_id,lon,lat,air_pollutant,iso_code
Austria,SPO.01.0001.3902.5.1,16.52617,47.84011,PM10,AT
Austria,SPO.01.0001.3902.5.1,16.52617,47.84011,PM10,AT
Austria,SPO.01.0001.3902.5.1,16.52617,47.84011,PM10,AT
Austria,SPO.01.0001.3902.5.1,16.52617,47.84011,PM10,AT
Austria,SPO.01.0001.3902.5.1,16.52617,47.84011,PM10,AT
Austria,SPO.01.0001.3902.5.1,16.52617,47.84011,PM10,AT
Austria,SPO.01.0001.3902.5.1,16.52617,47.84011,PM10,AT
Austria,SPO.01.0001.3902.5.1,16.52617,47.84011,PM10,AT
Austria,SPO.01.0001.3902.5.1,16.52617,47.84011,PM10,AT
Austria,SPO.01.0001.3902.5.1,16.52617,47.84011,PM10,AT
Austria,SPO.01.0001.64460.5.1,16.52617,47.84011,PM10,AT
Austria,SPO.01.0001.64460.5.1,16.52617,47.84011,PM10,AT
Austria,SPO.01.0001.64460.5.1,16.52617,47.84011,PM10,AT
Austria,SPO.01.0001.64460.5.1,16.52617,47.84011,PM10,AT
Austria,SPO.01.0001.65188.6001.1,16.52617,47.84011,PM2.5,AT
Austria,SPO.01.0001.65188.6001.1,16.52617,47.84011,PM2.5,AT
Austria,SPO.01.0001.65188.6001.1,16.52617,47.84011,PM2.5,AT
Austria,SPO.01.0001.65188.6001.1,16.52617,47.84011,PM2.5,AT
Austria,SPO.01.0001.65188.6001.1,16.52617,47.84011,PM2.5,AT
Austria,SPO.01.0001.65188.6001.1,16.52617,47.84011,PM2.5,AT
Austria,SPO.01.0001.65507.6001.1,16.52617,47.84011,PM2.5,AT
Austria,SPO.01.0001.65507.6001.1,16.52617,47.84011,PM2.5,AT
Austria,SPO.01.0001.65507.6001.1,16.52617,47.84011,PM2.5,AT
Austria,SPO.01.0001.65507.6001.1,16.52617,47.84011,PM2.5,AT
Austria,SPO.01.0002.3905.5.1,16.20786,47.33992,PM10,AT
Austria,SPO.01.0002.3905.5.1,16.20786,47.33992,PM10,AT
Austria,SPO.01.0002.3905.5.1,16.20786,47.33992,PM10,AT
Austria,SPO.01.0002.3905.5.1,16.20786,47.33992,PM10,AT
Austria,SPO.01.0002.3905.5.1,16.20786,47.33992,PM10,AT
Austria,SPO.01.0002.3905.5.1,16.20786,47.33992,PM10,AT
Austria,SPO.01.0002.67630.5.1,16.20786,47.33992,PM10,AT
Austria,SPO.01.0002.67630.5.1,16.20786,47.33992,PM10,AT
Austria,SPO.01.0003.3903.5.1,17.07032,48.10915,PM10,AT
Austria,SPO.01.0003.3903.5.1,17.07032,48.10915,PM10,AT
